AAAA 02 14 00 38FFF207EEFFFE00000001000000000000000086
AAAA 02 14 00 33FFF207E1000000000000000000000000000076
AAAA F1 12 00 000000000000000000001100000000FFE44B
AAAA F2 12 00 0000000000000000000000000000000D48AD
AAAA 03 14 00 000000000000000000000000000000000000006B
AAAA 06 10 00 0000000000000000000000000000006
AAAA A0 70 60 0110AA4000020
AAAA 01 0C FF EEFF6E002500002BA00000AB
AAAA 02 14 00 34FFF307F0000000000000000000000000000087
AAAA 02 14 00 2FFFF707ED000100000000000000000000000084
AAAA F1 12 00 000000000000000000001100000000FFE44B
AAAA F2 12 00 0000000000000000000000000000000D48AD
AAAA 05 04 01 8A01F4DD
AAAA 02 14 00 2BFFF707E800000000000100000000000000007B
AAAA 01 0C FF EEFF6E002500002BAA0000B5
AAAA 02 14 00 2DFFF507F1000000000001000000000000000084
AAAA F1 12 00 000000000000000000001100000000FFE54C
AAAA F2 12 00 0000000000000000000002000000000D48AF
AAAA 03 14 00 000000000000000000000000000000000000006B
AAAA 06 10 00 0000000000000000000000000000006
AAAA A0 70 60 0110EC5000045
AAAA 02 14 00 2CFFEE07F8000000010001000000000000000084
AAAA 02 14 00 36FFF507E9000000000002000000000000000086
AAAA F1 12 00 000000000000000000001100000000FFE64D
AAAA F2 12 00 0000000000000000000005000000000D48B2
AAAA 01 0C FF EEFF6E002500002BAA0000B5
AAAA 02 14 00 2DFFFE07F4FFFE0000000000000000000000008C
AAAA 02 14 00 33FFF007E70000FFFEFFFF000000000000000075
AAAA F1 12 00 000000000000000000001100000000FFE64D
AAAA F2 12 00 0000000000000000000007000000000D48B4
AAAA 03 14 00 000000000000000000000000000000000000006B
AAAA 06 10 00 0000000000000000000000000000006
AAAA A0 70 60 0110EC5000045
AAAA 02 14 00 39FFF807DF000000000000000000000000000080
AAAA 01 0C FF EEFF6E002500002BAA0000B5
AAAA 02 14 00 2CFFF407E9FFFF0003FFFF000000000000000078
AAAA F1 12 00 000000000000000000001100000000FFE74E
AAAA F2 12 00 0000000000000000000008000000000D48B5
AAAA 02 14 00 31FFF207E8FFFF0001000000000000000000007
AAAA A0 21 40 032FFF907F000000001000000000000000000008C
AAAA F1 12 00 000000000000000000001100000000FFE74E
AAAA F2 12 00 0000000000000000000009000000000D48B6
AAAA 03 14 00 000000000000000000000000000000000000006B
AAAA 05 04 01 8A01F4DD
AAAA 06 10 00 0000000000000000000000000000006
AAAA A0 70 60 0110EC5000045
AAAA 01 0C FF EEFF6E002500002BAA0000B5
AAAA 02 14 00 2FFFF307E600000000FFFF000000000000000076
AAAA 02 14 00 31FFF507E70000FFFFFFFF000000000000000079
AAAA F1 12 00 000000000000000000001100000000FFE84F
AAAA F2 12 00 0000000000000000000009000000000D48B6
AAAA 02 14 00 35FFF607ED0000FFFFFFFF000000000000000084
AAAA 01 0C FF EEFF6E002500002BA90000B4
AAAA 02 14 00 39FFEC07E2FFFF00020001000000000000000078
AAAA F1 12 00 000000000000000000001100000000FFE950
AAAA F2 12 00 0000000000000000000009000000000D48B6
AAAA 03 14 00 000000000000000000000000000000000000006B
AAAA 06 10 00 0000000000000000000000000000006
AAAA A0 70 60 0110E260000A6
AAAA 02 14 00 2DFFF307ECFFFE00000000000000000000000079
